Department,Course Code,Course Name,Credits,Coordinator Name,Instructor name,Segment Name,Course Slot Code,Class Timings,Room No.
Chemical Engineering,CH3160,Process Control,3.00,Dr. Phanindra Varma Jampana,Dr. Phanindra Varma Jampana,1-6,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",A-Class Room 111-Capacity:70
Chemical Engineering,CH4140,Process Intensification.,1.00,Dr. Gande Vamsi Vikram,Dr. Gande Vamsi Vikram,1-2,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",A-Class Room 111-Capacity:70
Chemical Engineering,CH3405,Semester Internship,6.00,Unspecified,Unspecified,1-6,Internship,Internship,Internship - No Classroom required
Chemical Engineering,CH6000,Stability of Fluid Flows,3.00,Dr. Ramkarn Patne,Dr. Ramkarn Patne,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",A-Class Room 112-Capacity:80
Chemical Engineering,CH6180,Statistical Design and Analysis,1.00,Dr. Satyavrata Samavedi,Dr. Satyavrata Samavedi,5-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",A-Class Room 119-Capacity:108
Chemical Engineering,CH5470,Sustainability in Chemical Engineering,2.00,Dr. Gande Vamsi Vikram,Dr. Gande Vamsi Vikram,3-6,A_JAN26-APR26,"Monday-09:00-09:55,Wednesday-11:00-11:55,Thursday-10:00-10:55",A-Class Room 119-Capacity:108
Chemical Engineering,CH6330,Systems Biology,1.00,Dr. Lopamudra Giri,Dr. Lopamudra Giri,5-6,G_JAN26-APR26,"Tuesday-12:00-12:55,Wednesday-12:00-12:55,Friday-12:00-12:55",A-Class Room 111-Capacity:70
Chemical Engineering,CH1140,Thermodynamic Laws & Phase Transitions,3.00,Dr. Saptarshi Majumdar,Dr. Saptarshi Majumdar,1-6,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",LHC-06-Capacity:320
Chemical Engineering,CH5490,Thermodynamics of Materials,2.00,Dr. Giridhar Madras,Dr. Giridhar Madras,1-4,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",A-Class Room 112-Capacity:80
Chemical Engineering,CH5015,Thesis (Stage 1),3.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Thesis - No Classroom required
Chemical Engineering,CH5035,Thesis (Stage 3),12.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Thesis - No Classroom required
Chemistry,CY5130,Advanced Inorganic Chemistry,3.00,Dr. G Prabu Sankar,Dr. G Prabu Sankar,1-6,G_JAN26-APR26,"Tuesday-12:00-12:55,Wednesday-12:00-12:55,Friday-12:00-12:55",CY-LH-3-Capacity:90
Chemistry,CY5020,Advanced Organic Chemistry of Multiple Bonds,3.00,Dr. Abhijit Sau,"Dr. Abhijit Sau, Dr. Natte Kishore",1-6,B_JAN26-APR26,"Monday-10:00-10:55,Wednesday-09:00-09:55,Thursday-11:00-11:55",CY-LH-3-Capacity:90
Chemistry,CY6520,Bio Inspired Catalysis in Modern Research,3.00,Dr. Somnath Maji,Dr. Somnath Maji,1-6,A_JAN26-APR26,"Monday-09:00-09:55,Wednesday-11:00-11:55,Thursday-10:00-10:55",CY-LH-1-Capacity:30
